Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,Price to Sales,Price to Free Cash Flow,EVEBITDA,Interest Coverage Ratio,PEG Ratio,Working Capital to Sales ratio,QoQ Profits,QoQ Sales,Net worth,Market Cap to Sales,Interest Coverage,Enterprise Value to EBIT,Debt Capacity,Debt To Profit,Total Capital Employed,CROIC,debtplus,Leverage,Dividend Payout,Intrinsic Value,cash debt contingent liabilities by mcap,Cash by market cap,Down from 52w high,Up from 52w low,Mkt Cap To Debt Cap,Price to Cash Flow,ROCE3yr avg,PB X PE,NCAVPS,Market Capt to Cash Flow,Market cap to quarterly profit,Market Capitalization
MTAR Technologie,543270,MTARTECH,INE864I01014,Aerospace & Defense,Aerospace & Defense,3503.70,14.31,-248.94,72.45,4.52,-41.58,41.97,666.23,104.96,746.54,14.31,4.52,94.29,-0.01,3.46,802.77,-4.88,0.28,1.46,0.00,501.72,-1.78,0.00,5.02,204.14,29.74,106.02,14.68,2303.04,102.63,105.88,284.66,10777.17
Mudunuru,538743,,INE491C01027,IT - Software,Computers - Software & Consulting,14.11,7.56,-15.96,-79.63,-10.12,,12.54,-17.14,-32.08,0.64,7.56,-10.12,-27.78,-0.13,-2.51,3.60,-57.59,5.21,7.61,0.00,,-7.36,0.00,32.94,218.51,-4.09,-65.57,-55.54,,0.23,-65.57,-54.38,44.59
Mufin Green,542774,MUFIN,INE08KJ01020,Finance,Non Banking Financial Company (NBFC),119.70,11.33,-9.15,21.86,1.27,4.46,66.55,47.45,7.10,319.42,11.33,1.27,22.36,-0.55,42.11,127.89,-24.38,2.67,3.60,0.00,62.26,-33.97,0.10,5.26,89.67,-1.14,-14.56,10.05,664.35,7.03,-14.56,342.18,2073.60
Mukand,500460,MUKANDLTD,INE304A01026,Ferrous Metals,Iron & Steel,136.25,0.42,7.28,12.46,1.81,-13.82,11.82,-65.97,2.83,957.50,0.42,1.81,15.22,-0.91,23.86,1244.13,11.04,2.08,3.46,38.08,48.74,-99.94,0.02,15.90,61.43,-9.93,10.93,4.15,62.64,38.11,10.93,199.27,1968.75
Mukat Pipes,523832,,INE862C01029,Industrial Products,Iron & Steel Products,29.22,9.74,100.43,-142.42,-2.38,,5.92,-1600.00,-45.74,-7.35,9.74,-2.38,-97.45,-0.04,-22.50,1.01,-10.19,-0.60,-0.66,0.00,,-9.20,0.04,13.09,147.63,9.04,-114.93,0.00,,0.18,-115.23,-101.68,34.57
Mukesh Babu Fin.,530341,,INE596B01017,Finance,Non Banking Financial Company (NBFC),122.00,8.36,-133.44,10.70,2.50,-1.47,2311.01,122.33,220.45,319.78,8.36,2.50,10.90,1.76,83.98,237.12,-0.18,0.14,1.32,61.96,164.98,-40.28,0.11,18.64,22.00,0.53,-13.28,2.86,4.45,335.76,-13.23,48.05,85.04
Mukka Proteins,544135,MUKKA,INE0CG401037,Food Products,Animal Feed,24.53,0.67,-6.02,10.44,2.43,0.61,26.47,333.33,43.22,444.33,0.67,2.43,11.77,-0.98,12.68,433.53,-14.53,1.64,2.29,0.00,34.88,-92.98,0.11,33.22,21.68,-0.94,-6.57,18.06,25.99,9.71,-6.57,125.15,735.90
Mukta Agricultur,535204,,INE160O01031,Commercial Services & Supplies,Trading & Distributors,2.80,,28.48,60.00,,1.88,,700.00,,22.04,,,60.00,2.82,0.00,6.96,0.94,0.01,1.03,0.00,1.94,-0.99,0.01,32.69,11.55,0.73,7.89,9.38,17.00,3.21,7.88,75.88,6.07
Mukta Arts,532357,MUKTAARTS,INE374B01019,Entertainment,"Film Production, Distribution & Exhibition",68.00,0.91,16.44,12.55,-0.04,,-19.02,41.22,23.41,-57.57,0.91,-0.04,-482.43,0.04,-5.69,107.61,10.80,-1.74,-5.05,0.00,,-60.84,0.06,28.04,28.06,0.51,6.54,0.79,,-14.16,6.54,-42.90,153.58
Muller & Phipps,501477,,INE003F01015,Commercial Services & Supplies,Trading & Distributors,214.00,2.25,80.25,88.19,2.00,,-17.14,-104.29,97.83,-1.43,2.25,2.00,88.19,0.07,-1.17,-0.96,-18.08,-0.82,-2.65,0.00,,-7.47,0.02,44.42,5.94,1.93,-30.57,0.00,,-17.00,-31.86,-446.00,13.38
Multi Comm. Exc.,534091,MCX,INE745G01043,Capital Markets,Exchange and Data Platform,2375.05,35.53,148.53,46.83,4203.96,1.25,27.50,103.13,77.86,2087.22,35.53,4203.96,50.03,0.08,0.00,899.46,24.97,0.07,2.05,27.32,590.34,2.90,0.02,12.23,169.39,13.92,63.74,21.06,1870.68,18.38,63.74,150.98,60561.84
Multibase India,526169,,INE678F01014,Chemicals & Petrochemicals,Specialty Chemicals,221.50,4.09,60.32,13.31,1564.00,0.74,104.84,24.35,10.56,83.67,4.09,1564.00,14.25,0.26,0.00,85.12,4.34,0.00,1.48,456.56,110.52,18.14,0.29,29.91,4.98,3.33,48.20,13.70,80.36,56.90,48.28,97.74,279.53
Multipurpose Trd,504356,,INE017P01014,Commercial Services & Supplies,Diversified Commercial Services,7.59,9.64,-18.91,17.05,0.33,,38.46,106.67,-38.46,4.58,9.64,0.33,17.05,0.21,0.59,0.15,-3.80,0.02,1.02,0.00,,0.27,0.03,34.11,0.13,-1.46,-14.88,4.18,,0.31,-15.04,94.00,3.76
Munish Forge,,MUNISH,INE1K8Y01018,Industrial Products,Castings & Forgings,83.05,1.14,57.08,9.20,4.86,0.12,18.17,,,66.12,1.14,4.86,10.46,,4.41,68.06,3.99,,2.79,0.00,,-38.75,0.01,41.92,16.64,,39.02,15.92,,13.23,38.97,28.08,199.91
Munjal Auto Inds,520059,MUNJALAU,INE672B01032,Auto Components,Auto Components & Equipments,80.06,0.38,23.84,8.37,2.31,1.84,8.03,-30.14,18.95,431.60,0.38,2.31,14.75,-0.05,10.07,637.01,4.58,0.98,2.92,27.48,40.23,-51.31,0.02,30.14,33.34,0.84,31.57,11.51,54.83,16.94,31.57,71.48,800.60
Munjal Showa,520043,MUNJALSHOW,INE577A01027,Auto Components,Auto Components & Equipments,133.40,0.42,48.97,9.71,4366.00,-1.23,36.12,299.63,5.13,667.16,0.42,4366.00,12.10,0.74,0.00,573.55,1.63,0.01,1.22,62.35,101.44,3.45,0.04,17.93,28.02,3.19,14.58,3.37,13.65,114.78,14.57,42.58,533.53
Munoth Capital,511200,,INE910G01027,Capital Markets,Stockbroking & Allied,130.00,167.83,-178.51,283.74,42.00,33.54,-405.63,372.73,422.22,6.06,167.83,42.00,283.74,0.00,0.39,-2.86,-11.49,0.01,1.00,0.00,4.23,0.02,0.00,27.13,9.15,-40.39,-1708.57,-1.71,7557.11,-3.13,-1702.29,397.20,119.16
Munoth Commun.,511401,,INE410E01015,Finance,Other Financial Services,5.99,57.80,-14.14,-20.17,-2.62,,-780.00,45.45,-100.00,16.94,57.80,-2.62,-20.76,2.37,-3.33,1.78,-2.36,0.08,1.07,0.00,,-21.80,0.01,68.39,0.00,-2.14,-28.75,-3.79,,-0.81,-28.90,-96.33,5.78
Munoth Fin.Serv.,531821,,INE348D01019,Finance,Other Financial Services,25.72,22.02,-40.99,-26.62,,,-115.00,87.50,40.00,10.21,22.02,,-26.62,0.36,-1.33,3.29,-2.86,0.10,1.25,0.00,,-6.89,0.00,63.23,4.98,-6.44,-131.17,-0.79,,-1.35,-132.10,-1321.00,13.21
Murae Organisor,542724,,INE060601031,Pharmaceuticals & Biotechnology,Pharmaceuticals,0.24,0.06,-0.43,10.65,,0.06,49.06,161.05,-99.23,208.47,0.06,,10.65,-7.72,28.29,421.22,-47.39,1.02,1.85,0.00,0.78,-338.52,0.59,78.57,20.00,-0.06,-0.15,5.56,0.78,2.06,-0.15,6.60,49.09
Murudesh.Ceramic,515037,MURUDCERA,INE692B01014,Consumer Durables,Ceramics,35.60,1.03,-34.59,8.58,1.99,0.30,24.57,62.56,-1.26,373.47,1.03,1.99,13.56,-0.19,13.09,450.01,-1.31,0.38,1.50,30.52,38.95,-65.12,0.04,30.20,18.98,0.68,7.49,4.89,12.18,8.46,7.49,68.00,215.55
Music Broadcast,540366,RADIOCITY,INE919I01024,Entertainment,Media & Entertainment,6.32,1.16,15.27,-26.47,-3.51,,62.27,153.49,22.83,489.33,1.16,-3.51,-8.13,1.26,-3.94,287.27,2.27,0.30,1.35,0.00,,-61.17,0.11,48.83,10.49,0.85,13.15,-0.07,,3.39,13.15,59.37,218.48
Muthoot Cap.Serv,511766,MUTHOOTCAP,INE296G01013,Finance,Non Banking Financial Company (NBFC),233.55,0.65,-0.99,9.44,1.05,0.99,49.39,170.32,1.00,656.96,0.65,1.05,9.60,-7.10,65.48,299.63,-13.38,4.57,4.48,0.00,172.42,-675.85,0.84,36.31,9.08,-0.38,-0.35,12.83,18.53,178.06,-0.35,50.21,384.13
