Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,Price to Sales,Price to Free Cash Flow,EVEBITDA,Interest Coverage Ratio,PEG Ratio,Working Capital to Sales ratio,QoQ Profits,QoQ Sales,Net worth,Market Cap to Sales,Interest Coverage,Enterprise Value to EBIT,Debt Capacity,Debt To Profit,Total Capital Employed,CROIC,debtplus,Leverage,Dividend Payout,Intrinsic Value,cash debt contingent liabilities by mcap,Cash by market cap,Down from 52w high,Up from 52w low,Mkt Cap To Debt Cap,Price to Cash Flow,ROCE3yr avg,PB X PE,NCAVPS,Market Capt to Cash Flow,Market cap to quarterly profit,Market Capitalization
N R Vandana,,NRVANDANA,INE104101014,Textiles & Apparels,Garments & Apparels,54.50,0.46,-41.18,9.18,2.75,0.18,24.36,25.22,-9.17,61.51,0.46,2.75,9.33,,9.37,72.40,-3.03,1.24,5.22,0.00,74.78,-65.32,0.02,25.24,47.10,,21.93,15.60,23.03,28.68,21.93,22.04,126.96
N S D L,544467,,INE301O01023,Capital Markets,"Depositories, Clearing Houses and Other Intermediaries",980.50,13.66,72.47,34.60,81.51,3.15,21.52,-18.77,-10.10,2166.58,13.66,81.51,37.62,0.19,0.06,679.87,14.57,0.07,1.31,11.66,553.77,1.18,0.02,31.19,11.42,5.49,35.15,22.57,470.33,15.45,35.15,218.84,19610.00
N2N Technologies,512279,,INE043F01011,Commercial Services & Supplies,Diversified Commercial Services,30.00,7.17,4.98,6.98,,0.21,-32.59,100.00,-3.03,6.10,7.17,,7.08,0.28,0.50,-0.41,28.82,0.10,1.23,0.00,27.77,-6.71,0.00,28.83,111.12,0.71,-24.00,-1.46,9.35,-1.38,-24.20,,9.68
Naapbooks,543351,,INE0GOA01018,IT - Software,Computers - Software & Consulting,120.20,7.15,-20.84,13.16,32.89,0.12,52.79,1.23,15.83,39.16,7.15,32.89,14.16,-0.01,0.27,33.82,-22.70,0.03,0.87,0.00,203.61,-0.40,0.00,38.03,20.50,-4.57,-14.13,17.87,65.41,8.86,-14.11,39.41,129.65
Nacdac Infra.,544313,,INE0LB101011,Construction,Civil Construction,29.50,0.48,-6.62,4.42,7.86,0.04,17.74,-37.84,-42.22,26.37,0.48,7.86,4.59,-0.47,1.99,23.65,-18.94,0.33,1.41,0.00,137.30,-21.13,0.07,48.25,4.98,-0.91,-5.49,27.38,6.79,10.98,-5.51,15.00,31.05
NACL Industries,524709,NACLIND,INE295D01020,Fertilizers & Agrochemicals,Pesticides & Agrochemicals,151.95,2.50,37.55,228.56,-0.25,,1.36,-498.43,-30.36,447.33,2.50,-0.25,-297.87,-0.04,-5.44,486.30,8.91,1.16,3.61,0.00,,-12.87,0.02,51.17,208.34,3.10,7.58,2.47,,0.83,7.58,-349.98,3555.83
Nag. Agri Tech.,531832,,INE793H01017,Agricultural Food & other Products,Other Agricultural Products,50.95,1.58,1026.28,58.82,1.23,24.40,11.85,-195.74,-47.47,7.24,1.58,1.23,59.42,-0.27,21.76,3.90,0.70,1.38,1.20,0.00,2.44,-20.97,0.02,38.86,46.32,-2.68,-6.81,-5.44,3495.60,3.80,-6.79,-106.09,47.74
Naga Dhunseri,,NDGL,INE756C01015,Finance,Non Banking Financial Company (NBFC),2769.00,0.80,-60.37,6.68,4.59,-0.43,20.56,-78.33,40.88,1306.37,0.80,4.59,7.97,2.30,8.60,870.43,-0.37,0.18,1.06,0.72,20657.74,-77.63,0.05,40.90,15.14,-11.38,-34.48,5.13,2.12,711.00,-34.48,-69.57,276.90
Nagarjuna Fert.,539917,NAGAFERT,INE454M01024,Fertilizers & Agrochemicals,Fertilizers,4.76,1.69,0.37,-13.03,-3.77,,516.64,19.81,,-937.57,-1.69,-3.77,-13.03,0.78,0.01,-871.98,-153.71,-0.89,-1.00,0.00,,-266.00,0.19,46.09,18.41,0.43,-1.35,-149.42,,-14.58,-1.35,-56.71,284.67
Nagpur Power,532362,,INE099E01016,Ferrous Metals,Ferro & Silica Manganese,152.20,3.17,-29.41,55.37,0.65,,69.96,-353.85,-1.66,91.87,3.17,0.65,116.87,-0.02,6.65,100.86,-6.41,0.25,1.37,0.00,,-11.01,0.01,12.50,89.87,-6.62,-21.84,0.18,,33.58,-21.84,-201.40,199.39
