Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,Return over 3months,Return over 6months,Is SME,Is not SME,Volume 1month average,Volume 1week average,Volume,Low price,High price,High price all time,Low price all time,Return over 1day,Return over 1week,Return over 1month,DMA 50,DMA 200,DMA 50 previous day,DMA 200 previous day,RSI,MACD,MACD Previous Day,MACD Signal,MACD Signal Previous Day,Return over 1year,Return over 3years,Return over 5years,Volume 1year average,Return over 7years,Return over 10years,Market Capitalization
Sattrix Infor.,544189,,INE0QUV01010,IT - Services,IT Enabled Services,395.00,30.77,127.01,1,0,9079,2167,4500,77.95,405.65,405.65,77.95,3.32,-1.20,2.86,338.40,263.12,336.09,261.79,62.45,20.23,20.70,22.29,22.81,219.84,,,9590,,,268.60
Sattva Eng.,,SATTVAENGG,INE14DW01018,Other Utilities,Water Supply & Management,54.50,-34.57,,1,0,17840,7600,6400,47.20,118.90,118.90,47.20,-1.54,-0.37,3.61,61.37,81.28,61.66,81.55,46.38,-1.86,-2.02,-2.54,-2.71,,,,81896,,,95.20
Sattva Sukun,539519,,INE280E01038,Retailing,Distributors,0.77,-1.28,-2.53,0,1,1666755,459974,761784,0.49,4.43,5.04,0.33,0.00,4.05,-1.28,0.74,1.10,0.74,1.10,54.88,0.01,0.01,0.02,0.02,-79.02,-0.43,1.92,2643841,11.04,,29.54
Saumya Cons,539218,,INE563C01015,Finance,Non Banking Financial Company (NBFC),152.85,-5.21,15.31,0,1,94,183,249,125.00,233.85,424.00,12.50,4.94,15.66,-3.72,150.79,165.27,150.70,165.39,52.27,-2.38,-3.20,-2.20,-2.16,-35.94,20.02,26.07,188,,,105.57
Saurashtra Cem.,502175,SAURASHCEM,INE626A01014,Cement & Cement Products,Cement & Cement Products,72.89,-25.63,-37.44,0,1,66084,57152,76505,67.21,128.40,148.86,8.40,-1.69,-3.75,-3.65,79.71,92.62,79.98,92.82,41.91,-1.82,-1.90,-2.40,-2.54,-21.05,10.35,3.42,214464,9.75,5.71,811.17
Saven Tech.,532404,,INE856B01023,IT - Services,IT Enabled Services,48.05,6.47,6.09,0,1,5459,13337,23348,40.11,53.80,77.00,2.20,5.07,9.35,13.78,44.00,45.95,43.84,45.93,76.83,0.57,0.24,-0.06,-0.22,-5.13,4.05,3.92,5758,12.17,10.69,52.27
Savera Industrie,512634,,INE104E01014,Leisure Services,Hotels & Resorts,152.55,1.46,-4.39,0,1,2209,4525,2190,118.00,168.90,180.70,8.95,0.36,3.07,7.39,145.80,147.91,145.52,147.86,58.24,1.72,1.31,0.43,0.10,9.75,27.04,29.43,3474,12.51,9.51,181.99
Savita Oil Tech,524667,SOTL,INE035D01020,Petroleum Products,Lubricants,369.45,-5.69,-9.63,0,1,17121,14454,19791,295.00,477.65,655.00,19.80,2.72,3.59,3.43,364.28,395.05,364.07,395.30,57.85,-2.38,-4.01,-5.06,-5.73,-17.31,10.34,14.95,39586,9.43,15.18,2532.96
Savy Infra,,SAVY,INE0UCN01017,Construction,Civil Construction,149.50,-7.94,10.33,1,0,12505,6800,7200,121.00,191.00,191.00,121.00,1.53,1.46,-2.29,152.97,149.57,153.11,149.57,49.39,-3.43,-4.04,-4.54,-4.82,,,,89945,,,311.09
Sawaca Enterpri.,531893,,INE248B01023,Commercial Services & Supplies,Diversified Commercial Services,0.34,-19.05,-20.93,0,1,1189903,1052408,1881835,0.33,0.66,126.32,0.22,0.00,-2.86,-8.11,0.36,0.49,0.36,0.49,44.43,-0.01,-0.01,-0.01,-0.01,-46.03,-62.15,-2.20,1648747,-3.93,-31.66,19.45
Sawaliya Food,,SAWALIYA,INE10VS01016,Agricultural Food & other Products,Other Agricultural Products,305.00,31.95,27.40,1,0,128220,54900,49200,208.00,326.10,326.10,208.00,-1.37,-3.02,-3.62,302.14,266.39,302.02,266.01,43.14,0.65,1.40,2.45,2.89,,,,141074,,,302.51
Sayaji (Indore),544080,,INE0MGS01014,Leisure Services,Hotels & Resorts,865.00,2.31,-29.45,0,1,21,47,2,661.20,1438.50,1438.50,87.10,4.34,3.47,3.59,869.01,947.25,869.17,948.08,54.79,5.03,2.90,1.44,0.54,23.85,,,596,,,263.53
Sayaji Hot. Pune,544090,,INE07G501017,Leisure Services,Hotels & Resorts,830.00,1.97,-2.35,0,1,38,61,61,665.00,1100.00,1100.00,87.10,0.61,8.50,8.53,792.86,794.14,791.35,793.78,59.55,4.58,1.38,-1.52,-3.05,0.00,,,825,,,252.87
Sayaji Hotels,523710,,INE318C01014,Leisure Services,Hotels & Resorts,279.25,5.34,-6.61,0,1,664,829,883,240.00,322.25,425.00,14.99,-0.62,1.55,1.92,281.11,288.67,281.18,288.77,49.00,-0.34,-0.30,-0.73,-0.83,-6.81,-4.28,6.71,4994,1.47,7.27,489.19
Sayaji Industr,540728,,INE327G01032,Agricultural Food & other Products,Other Agricultural Products,72.14,-8.10,10.46,0,1,2685,897,110,53.75,92.25,119.75,20.28,0.71,-6.23,-0.22,73.00,72.09,73.03,72.09,47.18,0.75,1.04,1.31,1.44,-6.61,15.97,15.15,1259,-0.87,,182.37
SBC Exports,542725,SBC,INE04AK01028,Textiles & Apparels,Garments & Apparels,30.57,22.97,62.52,0,1,11534581,11843946,11418668,10.95,31.00,31.00,0.52,-0.10,2.38,7.75,28.25,23.07,28.16,22.99,68.73,0.56,0.52,0.42,0.38,139.39,66.86,100.65,10229630,,,1455.71
SBEC Sugar,532102,,INE948G01019,Agricultural Food & other Products,Sugar,31.00,-2.97,-21.84,0,1,1485,1138,624,26.85,65.47,94.55,3.34,-0.32,-2.82,0.03,31.51,37.50,31.53,37.57,49.96,-0.06,-0.07,-0.17,-0.19,-37.44,-9.41,35.09,3335,17.63,13.55,147.73
SBEC Systems,517360,,INE689V01018,Commercial Services & Supplies,Trading & Distributors,17.48,-16.48,-24.16,0,1,805,659,128,15.78,45.69,68.55,3.45,-1.80,-4.53,-8.96,19.82,23.25,19.91,23.31,40.81,-0.62,-0.58,-0.49,-0.46,-19.45,-22.46,,2727,,,17.48
SBFC Finance,543959,SBFC,INE423Y01016,Finance,Non Banking Financial Company (NBFC),98.52,-9.27,-6.15,0,1,4626602,1784913,1334315,79.45,123.00,123.00,72.23,1.16,9.31,-3.76,99.54,102.70,99.58,102.74,54.13,-2.39,-3.07,-3.37,-3.62,20.99,,,2935378,,,10806.20
SBI,500112,SBIN,INE062A01020,Banks,Public Sector Bank,1144.10,19.93,38.42,0,1,13335070,19842522,18053002,679.65,1154.00,1154.00,54.15,-0.17,7.11,12.70,1018.88,912.23,1013.77,909.90,72.33,28.71,24.42,21.29,19.43,56.49,27.42,23.82,10942792,23.03,22.14,1056074.96
SBI Cards,543066,SBICARD,INE018E01016,Finance,Non Banking Financial Company (NBFC),765.90,-12.73,-2.97,0,1,1463534,913820,869545,725.15,1027.25,1165.00,495.00,0.05,2.16,-10.50,818.26,847.05,820.40,847.86,39.34,-24.96,-26.91,-26.78,-27.23,-2.35,0.54,-5.59,1323218,,,72881.93
SBI Life Insuran,540719,SBILIFE,INE123W01016,Insurance,Life Insurance,2018.30,1.53,9.65,0,1,1278485,932524,588941,1379.85,2116.00,2116.00,485.00,-0.28,-1.15,-3.80,2016.17,1882.28,2016.09,1880.91,48.55,-7.19,-7.75,-5.75,-5.39,42.23,19.44,17.61,1086002,19.80,,202401.15
SBL Infratech,543366,,INE0DLM01024,Realty,"Residential, Commercial Projects",36.70,-12.62,-0.81,1,0,4320,0,0,30.55,54.50,118.75,25.90,4.26,0.00,11.21,38.40,41.40,38.47,41.45,49.23,-1.71,-2.00,-1.77,-1.78,-30.75,-23.74,,7346,,,2.98
SC Agrotech,526081,,INE895E01017,Food Products,Dairy Products,30.21,77.71,107.49,0,1,2595,7890,1714,13.15,43.80,43.80,0.75,1.99,-0.07,-24.74,30.27,22.42,30.27,22.34,39.34,-0.87,-0.81,0.06,0.29,58.33,31.12,90.00,3328,33.06,28.30,195.97
Scan Projects,531797,,INE393D01015,Cement & Cement Products,Cement & Cement Products,88.20,3.05,29.72,0,1,648,126,6,48.56,138.15,170.00,2.80,4.98,3.63,-0.45,85.45,83.32,85.34,83.27,53.33,-1.00,-1.51,-1.06,-1.08,-37.42,146.20,,3841,61.48,40.51,25.34
Scan Steels,511672,,INE099G01011,Ferrous Metals,Iron & Steel,32.98,-13.26,0.33,0,1,27049,26256,22446,28.02,48.50,260.00,1.73,1.07,5.64,1.32,33.06,37.08,33.06,37.12,54.93,-0.34,-0.50,-0.57,-0.62,-19.15,-1.35,10.63,46659,-4.08,5.73,193.27
Scarnose Inter.,543537,,INE0IXR01019,Textiles & Apparels,Other Textile Products,76.00,26.88,-2.29,1,0,1000,1000,1000,44.00,103.00,199.50,44.00,9.91,9.91,21.02,75.04,93.91,75.00,94.09,61.18,-1.20,-2.44,-4.02,-4.73,-27.55,11.32,,3345,,,23.94
Schaeffler India,505790,SCHAEFFLER,INE513A01022,Auto Components,Auto Components & Equipments,3961.40,-4.15,2.68,0,1,52877,50538,37423,2823.00,4392.85,4951.00,35.00,-0.69,3.06,5.11,3810.43,3851.52,3804.27,3850.42,63.53,27.81,14.43,-14.16,-24.66,27.98,13.08,32.00,79433,19.95,18.07,61918.14
Schneider Elect.,534139,SCHNEIDER,INE839M01018,Electrical Equipment,Heavy Electrical Equipment,784.85,-2.28,-9.89,0,1,706462,436038,372655,516.70,1055.00,1055.00,52.65,2.09,4.21,22.49,712.78,756.87,709.84,756.59,67.38,22.52,18.45,6.02,1.90,18.46,65.48,50.38,345342,36.84,19.11,18765.76
Scintilla Comm,538857,,INE892C01018,Finance,Non Banking Financial Company (NBFC),12.54,92.92,91.16,0,1,3640,8438,4474,4.52,14.37,41.00,3.29,-5.00,0.97,22.58,10.70,7.99,10.62,7.94,60.52,0.65,0.68,0.52,0.49,71.78,35.87,8.50,2156,5.24,-9.97,12.57
Scoda Tubes,544411,SCODATUBES,INE090501011,Industrial Products,Iron & Steel Products,142.81,-19.50,-16.59,0,1,296483,318673,93588,113.53,230.85,230.85,113.53,-0.90,-0.99,-5.72,148.02,159.99,148.24,160.16,50.80,-3.88,-4.73,-5.87,-6.37,,,,610326,,,855.56
Scoobee Garments,531234,,INE962E01015,Textiles & Apparels,Garments & Apparels,85.64,3.92,-18.59,0,1,3593,3634,4226,61.95,122.66,224.69,2.32,1.75,2.87,16.99,77.66,87.04,77.33,87.05,67.13,2.24,1.77,0.32,-0.16,-29.35,0.94,-4.34,3247,10.34,,144.90
SDC Techmedia,535647,,INE807O01011,Entertainment,"Film Production, Distribution & Exhibition",18.90,2.16,31.07,1,0,10000,0,0,5.41,21.49,21.49,3.33,5.00,0.00,7.51,13.37,10.39,13.14,10.31,68.59,2.28,2.36,2.39,2.42,119.26,24.69,,15758,14.56,14.55,12.27
Sea TV Network,533268,,INE351L01016,Entertainment,TV Broadcasting & Software Production,4.30,-14.00,-14.34,0,1,749,219,1,3.53,9.90,126.15,0.83,0.00,-0.23,-4.66,4.44,5.38,4.45,5.39,48.97,-0.08,-0.09,-0.10,-0.10,-46.05,6.20,20.54,3386,3.76,-4.34,5.17
Sealmatic India,543782,,INE0O4601016,Industrial Products,Other Industrial Products,381.00,-4.91,-12.27,1,0,5634,14490,11340,296.25,564.79,724.17,166.67,-2.72,10.12,8.55,362.00,401.70,361.22,401.91,60.27,-0.94,-4.04,-7.11,-8.66,-1.85,,,7903,,,413.77
SEAMEC Ltd,526807,SEAMECLTD,INE497B01018,Transport Services,Shipping,1357.80,60.01,58.47,0,1,91747,114924,296159,752.55,1439.95,1669.95,30.05,4.83,12.20,28.99,1115.51,1000.89,1105.62,997.30,75.04,65.41,59.98,56.19,53.89,51.94,23.16,23.58,48554,22.71,33.14,3452.21
Seasons Textiles,514264,,INE707B01010,Textiles & Apparels,Other Textile Products,18.00,-14.24,-9.46,0,1,816,1783,1365,13.50,24.95,30.23,2.50,1.75,4.29,6.19,17.73,18.86,17.72,18.87,57.02,0.00,-0.07,-0.23,-0.29,4.05,12.60,23.64,2680,10.69,10.64,13.48
Secmark Consult.,543234,SECMARK,INE0BTM01013,IT - Software,Computers - Software & Consulting,107.95,-17.60,-18.83,0,1,3190,3333,4116,75.00,174.70,174.70,17.72,4.91,5.51,0.99,110.49,118.26,110.59,118.36,51.17,-2.39,-2.93,-2.87,-2.99,9.98,3.00,41.16,7384,,,112.78
SecureKloud Tech,512161,SECURKLOUD,INE650K01021,IT - Services,IT Enabled Services,21.80,12.37,-13.70,0,1,16095,18598,10280,16.01,34.18,1029.95,5.64,-1.36,-3.58,-11.63,23.35,24.63,23.42,24.66,41.04,-0.58,-0.56,-0.54,-0.53,-22.59,-15.86,-26.62,65183,-21.24,-27.77,72.84
Sejal Glass,532993,SEJALLTD,INE955I01044,Industrial Products,Glass - Industrial,700.60,-21.48,33.42,0,1,9134,16201,7819,313.50,1037.80,1037.80,1.50,2.92,0.44,-6.28,767.99,688.25,770.74,688.13,44.45,-29.91,-31.73,-32.61,-33.29,67.55,37.17,192.01,10078,136.36,63.93,798.68
SEL Mfg. Co,532886,SELMC,INE105I01020,Textiles & Apparels,Other Textile Products,29.89,-8.45,0.27,0,1,8308,8984,2456,25.01,48.81,1975.80,0.35,-2.64,2.54,2.96,30.30,34.28,30.32,34.32,51.59,-0.18,-0.24,-0.52,-0.61,-16.41,-55.89,68.51,18546,61.35,22.91,99.04
Sellowrap Indus.,,SELLOWRAP,INE0IJF01013,Auto Components,Auto Components & Equipments,72.00,-20.66,-18.92,1,0,7253,5333,1600,66.65,139.65,139.65,66.65,1.27,2.56,-8.75,79.25,89.91,79.55,90.09,44.47,-2.60,-2.80,-2.89,-2.97,,,,52428,,,98.96
Sellwin Traders,538875,,INE195F01027,Commercial Services & Supplies,Diversified Commercial Services,8.33,-7.65,-9.55,0,1,789433,512701,371360,2.71,14.39,14.39,1.45,0.73,-2.23,7.35,9.04,8.41,9.07,8.41,42.99,-0.23,-0.24,-0.22,-0.22,137.32,31.90,33.56,1621580,,,195.64
Semac Construct,505368,SEMAC,INE617A01013,Construction,Civil Construction,257.31,-25.86,-52.15,0,1,5653,4772,482,222.30,568.90,2490.82,109.37,-1.83,4.64,-10.49,289.89,392.11,291.22,393.46,45.81,-10.06,-11.17,-14.16,-15.19,-7.51,-30.45,-8.28,2355,0.62,-4.04,80.21
Senco Gold,543936,SENCO,INE602W01027,Consumer Durables,"Gems, Jewellery And Watches",357.40,8.30,-0.97,0,1,1237302,2579353,1515747,227.40,458.20,772.00,179.12,0.59,14.62,2.79,322.82,348.36,321.41,348.27,69.99,3.96,1.14,-1.18,-2.46,-17.40,,,1093594,,,5851.29
Senores Pharma.,544319,SENORES,INE0RB801010,Pharmaceuticals & Biotechnology,Pharmaceuticals,828.45,4.51,22.69,0,1,266658,130283,96574,440.30,876.50,876.50,435.25,-0.59,1.08,1.81,803.52,718.07,802.50,716.96,55.76,3.67,2.60,-0.04,-0.96,60.90,,,477758,,,3815.31
Senthil Infotek,531980,,INE564B01015,IT - Software,Computers - Software & Consulting,36.00,-29.34,-39.26,0,1,390,968,168,10.80,68.04,68.04,3.43,3.78,-6.32,-27.48,48.32,39.65,48.83,39.68,27.96,-4.01,-3.70,-2.32,-1.89,57.89,31.87,53.03,937,26.36,4.36,18.18
SEPC,532945,SEPC,INE964H01014,Construction,Civil Construction,10.14,-9.63,-9.30,0,1,14409609,28137054,52436868,7.69,16.49,338.16,1.75,3.68,19.29,10.34,9.27,11.67,9.24,11.69,68.52,-0.02,-0.15,-0.27,-0.34,-32.58,-7.40,18.94,12791167,3.72,-7.19,1916.52
SER Industries,507984,,INE358F01013,Transport Services,Road Transport,754.25,60.55,338.01,0,1,3277,8790,8790,27.30,793.05,793.05,7.73,1.00,1.00,-1.99,603.49,323.95,597.34,319.62,73.95,53.89,57.61,63.82,66.30,,,,587,,47.52,74.67
Sera Investments,512399,,INE017I01027,Finance,Non Banking Financial Company (NBFC),39.86,-3.39,7.50,0,1,53808,49690,77508,25.61,49.94,90.65,2.32,4.89,4.32,5.81,39.13,37.26,39.10,37.23,53.65,-0.17,-0.26,-0.04,-0.01,20.90,-14.01,25.78,94710,37.82,,261.06
Service Care Ltd,,SERVICE,INE0P1Q01015,Commercial Services & Supplies,Diversified Commercial Services,49.00,13.95,-8.41,1,0,9667,4500,4000,39.20,70.00,101.00,39.20,-1.90,-1.90,0.00,46.93,54.77,46.84,54.83,54.54,1.13,1.10,0.57,0.43,-23.44,,,10011,,,65.31
Servotech Renew,,SERVOTECH,INE782X01033,Electrical Equipment,Other Electrical Equipment,86.22,-14.79,-28.54,0,1,1975334,1777096,2653407,57.51,168.50,205.40,0.65,6.75,-1.56,20.99,79.98,106.82,79.72,107.02,64.07,1.99,1.25,-0.86,-1.57,-32.77,58.63,112.71,967356,68.89,,1947.24
Seshaasai Tech.,544533,STYL,INE04VU01023,Financial Technology (Fintech),Financial Technology (Fintech),270.02,-19.79,,0,1,136256,153996,110327,231.05,437.45,437.45,231.05,2.47,5.76,-1.34,278.87,347.31,279.23,348.08,54.27,-3.78,-5.24,-7.77,-8.76,,,,398159,,,4369.08
Seshachal Tech.,531794,,INE331F01028,IT - Software,Software Products,78.08,,,0,1,2844,3401,175,15.00,84.50,106.40,1.33,-1.96,-3.95,31.71,54.44,24.13,53.47,23.58,77.90,8.48,9.01,9.22,9.40,,,,1270,,43.09,5.42
Seshasayee Paper,502450,SESHAPAPER,INE630A01024,"Paper, Forest & Jute Products",Paper & Paper Products,259.69,4.86,-2.37,0,1,20905,56464,38942,211.59,323.80,421.85,10.80,3.94,8.74,10.47,236.96,258.71,236.03,258.70,68.38,3.07,1.09,-0.87,-1.86,-6.97,-0.76,12.94,23029,4.87,19.43,1637.82
Setco Automotive,505075,SETCO,INE878E01021,Auto Components,Auto Components & Equipments,14.23,-20.50,-4.30,0,1,106130,179740,291873,11.56,21.68,74.25,0.75,-3.85,-11.61,3.87,14.82,15.95,14.85,15.97,48.36,0.14,0.19,-0.10,-0.17,-25.11,12.86,-2.44,105108,-10.06,-7.02,190.35
Setubandhan Inf.,533605,SETUINFRA,INE023M01027,Construction,Civil Construction,0.44,-18.52,-21.43,0,1,81920,117218,180583,0.37,1.12,31.18,0.35,4.76,10.00,0.00,0.45,0.58,0.45,0.58,54.41,-0.01,-0.01,-0.01,-0.01,-22.81,-30.31,-13.34,72240,-24.85,-19.07,5.53
Seya Industries,524324,SEYAIND,INE573R01012,Chemicals & Petrochemicals,Specialty Chemicals,16.42,-27.95,-13.49,0,1,5200,5540,9237,12.63,24.20,826.00,12.63,-3.13,-1.20,-9.53,17.48,19.44,17.52,19.47,44.71,-0.37,-0.37,-0.47,-0.50,-28.23,-17.41,-23.47,15135,-38.46,-17.95,43.63
SG Finserve,539199,SGFIN,INE618R01015,Finance,Non Banking Financial Company (NBFC),392.05,1.14,1.45,0,1,206016,354744,110095,308.00,460.60,748.00,2.11,0.73,10.58,-4.34,381.96,392.18,381.55,392.18,57.00,-6.23,-9.19,-11.30,-12.57,9.79,-5.59,179.46,227392,95.44,40.06,2191.36
SG Mart,512329,SGMART,INE385F01024,Metals & Minerals Trading,Trading - Metals,416.05,19.67,25.28,0,1,400960,698571,547460,290.00,436.00,638.50,0.30,2.65,11.50,19.66,358.05,357.07,355.68,356.47,71.97,10.31,6.77,3.25,1.49,36.90,175.62,140.32,270431,86.56,79.62,5242.23
SGL Resources,526544,,INE967B01028,IT - Services,IT Enabled Services,2.90,-24.28,-32.24,0,1,125378,178016,117749,2.50,6.48,33.38,0.82,-3.01,-4.61,-5.54,3.14,3.93,3.15,3.94,43.80,-0.04,-0.04,-0.06,-0.06,-48.58,-19.36,-19.98,235595,-22.72,-11.45,73.03
SGN Telecoms,531812,,INE266C01023,Electrical Equipment,Other Electrical Equipment,0.75,-9.64,17.19,0,1,107652,88250,40835,0.57,1.10,5.17,0.06,-3.85,8.70,-1.32,0.72,0.75,0.72,0.75,56.89,0.00,0.00,-0.02,-0.02,-15.73,8.95,4.92,73550,,14.13,6.06
Sh. Ajit Pulp,538795,,INE185C01017,"Paper, Forest & Jute Products",Paper & Paper Products,259.10,7.89,6.52,0,1,3239,8084,8497,180.00,293.95,297.25,37.87,5.54,14.42,8.82,241.01,231.29,240.28,231.01,60.29,-0.60,-2.79,-3.36,-4.05,25.78,14.18,12.45,1678,8.18,13.83,230.48
Sh. Bajrang All.,526981,,INE402H01015,Industrial Products,Iron & Steel Products,172.40,-10.09,-14.59,0,1,2081,1720,2118,133.15,249.50,406.00,6.60,3.67,3.64,-8.88,182.10,193.83,182.50,194.05,45.50,-5.70,-6.40,-5.97,-6.04,-10.11,0.45,20.43,5304,40.13,19.93,155.16
Sh. Digvijay Cem,502180,SHREDIGCEM,INE232A01011,Cement & Cement Products,Cement & Cement Products,71.41,-20.75,-13.06,0,1,327623,274822,115895,61.01,107.70,123.90,4.23,0.69,-6.74,-21.73,82.68,85.68,83.14,85.82,28.93,-4.28,-4.31,-4.13,-4.09,2.15,1.82,4.36,754061,20.82,16.73,1055.93
Sh. Dinesh Mills,503804,,INE204C01024,Textiles & Apparels,Other Textile Products,238.85,-13.48,-18.12,0,1,3305,1462,310,223.60,349.95,900.00,49.55,0.04,-3.24,-0.75,247.37,285.83,247.72,286.30,46.72,-0.42,-0.07,-0.56,-0.59,-32.15,-24.19,-2.87,3743,9.32,7.22,133.77
Sh. Ganesh Elas.,530797,,INE400N01017,Commercial Services & Supplies,Trading & Distributors,13.26,-26.74,-36.86,0,1,43,38,109,13.26,32.75,38.76,2.88,-4.95,-6.62,-22.00,16.85,21.11,17.00,21.19,26.49,-1.02,-0.95,-0.78,-0.71,-58.95,-11.30,10.31,1823,,-5.42,7.30
Sh. Hari Chem.,524336,,INE065E01017,Chemicals & Petrochemicals,Commodity Chemicals,111.80,-7.37,4.10,0,1,1128,179,215,87.65,167.40,193.85,3.12,2.29,-0.53,-8.29,117.70,118.89,117.94,118.96,43.73,-2.80,-2.79,-2.07,-1.89,-23.58,31.38,23.83,2178,19.33,2.63,61.91
Sh. Jagdamba Pol,512453,,INE564J01026,Industrial Products,Packaging,676.30,-16.45,-30.66,0,1,871,875,887,590.20,1279.95,1762.00,2.86,6.17,-4.75,7.21,670.12,788.15,669.87,789.28,54.97,3.03,0.90,-4.19,-6.00,-5.76,-0.90,3.68,1624,15.28,34.12,592.30
Sh. Karthik Pap.,516106,,INE538D01015,"Paper, Forest & Jute Products",Paper & Paper Products,6.90,-19.39,-22.99,0,1,8932,1710,943,6.35,11.50,25.75,1.48,0.88,0.73,-17.56,7.43,8.58,7.45,8.60,45.27,-0.20,-0.21,-0.22,-0.23,-28.50,-3.38,16.25,8419,-5.78,10.47,13.19
Sh. Krish. Infr.,542146,,INE951Z01013,Realty,"Residential, Commercial Projects",13.00,-15.25,-79.51,1,0,2812,1250,1250,11.30,66.00,102.53,4.96,-4.97,-4.97,-13.91,18.05,35.26,18.25,35.48,40.74,-0.65,-0.63,-0.96,-1.03,-80.85,-30.66,11.90,70944,13.22,,14.30
Sh. Krishna Pap.,500388,,INE970C01012,"Paper, Forest & Jute Products",Paper & Paper Products,99.15,21.51,217.18,0,1,978,2044,7809,29.70,135.20,135.20,5.70,5.00,-0.25,-16.15,104.27,78.17,104.48,77.96,39.13,-5.13,-5.50,-4.40,-4.22,138.80,61.13,38.94,1521,18.62,,134.07
Sh. Rajas. Synt.,503837,,INE796C01011,Textiles & Apparels,Other Textile Products,10.81,-10.29,-28.08,0,1,1552,1763,3888,9.15,20.28,37.00,1.31,-0.83,3.44,-16.85,12.39,13.76,12.45,13.79,39.18,-0.69,-0.73,-0.75,-0.76,-24.14,27.54,23.92,5343,0.42,2.47,44.04
Sh. Rajiv. Oil,530295,,INE418K01015,Agricultural Food & other Products,Other Agricultural Products,38.72,36.29,34.21,0,1,314,1,1,26.11,44.62,97.89,6.00,0.00,0.00,12.07,32.81,34.80,32.57,34.76,78.95,2.22,2.10,1.60,1.44,-13.22,,,175,,,15.85
Sh. Rama Multi.,532310,SHREERAMA,INE879A01019,Industrial Products,Packaging,58.94,9.21,35.56,0,1,293639,773068,94116,30.55,71.99,71.99,2.12,-1.54,1.64,-5.38,58.81,52.09,58.80,52.02,48.92,-0.20,-0.20,-0.24,-0.26,60.51,84.73,51.85,285266,43.04,25.69,786.66
Sh. Steel Wire,513488,,INE387D01025,Industrial Products,Iron & Steel Products,20.40,-26.25,-28.75,0,1,1928,2770,2735,18.00,40.00,50.80,3.17,-0.44,9.97,-10.64,22.82,27.52,22.92,27.59,43.10,-1.02,-1.11,-1.16,-1.20,-45.45,-13.89,-2.37,2056,7.53,2.46,6.75
Sh.Pushkar Chem.,539334,SHREEPUSHK,INE712K01011,Chemicals & Petrochemicals,Dyes And Pigments,353.25,-11.87,1.45,0,1,41576,39580,21250,220.50,476.60,476.60,56.30,-1.78,1.16,6.64,357.43,353.64,357.60,353.65,52.26,-3.04,-4.27,-7.04,-8.03,26.77,25.33,19.92,228507,15.54,13.20,1142.33
Sh.Renuka Sugar,532670,RENUKA,INE087H01022,Agricultural Food & other Products,Sugar,25.89,-8.39,-7.80,0,1,3178550,3372930,3865326,22.85,35.85,123.61,3.20,2.29,3.07,2.45,25.69,29.35,25.68,29.39,56.65,-0.10,-0.20,-0.32,-0.38,-24.98,-18.51,22.07,5465613,14.56,9.19,5510.66
Shadowfax Technologies,544685,SHADOWFAX,INE12UN01015,Transport Services,Logistics Solution Provider,118.11,,,0,1,7488096,3665996,8045430,98.55,122.98,122.98,98.55,3.04,1.75,,110.56,110.11,110.25,110.03,,1.43,0.98,0.46,0.22,,,,7488096,,,6828.33
Shah Alloys,513436,SHAHALLOYS,INE640C01011,Industrial Products,Iron & Steel Products,65.57,-17.00,16.01,0,1,9270,4052,6399,43.30,83.85,252.00,3.21,-0.49,-0.06,-4.32,67.58,66.62,67.66,66.63,48.43,-0.92,-1.02,-1.27,-1.36,0.63,6.29,52.69,38792,21.84,22.96,129.83
Shah Foods,519031,,INE455D01012,Food Products,Packaged Foods,154.35,30.03,19.56,0,1,958,916,916,97.55,198.00,267.75,5.50,4.96,4.96,-0.26,143.02,164.28,142.56,164.38,64.26,5.06,4.07,0.38,-0.79,-25.81,72.63,35.14,569,11.56,9.75,9.26
Shah Metacorp,533275,SHAH,INE482J01021,Industrial Products,Iron & Steel Products,4.75,13.64,43.94,0,1,1829813,1400099,1371682,2.72,5.56,13.07,0.68,-0.42,-1.86,-5.57,4.79,4.26,4.79,4.25,42.47,-0.04,-0.03,0.00,0.01,25.00,17.21,15.02,2159933,1.43,6.63,420.48
Shahi Shipping,526508,,INE825D01016,Transport Services,Shipping,17.25,-26.53,14.47,0,1,5009,8428,15984,13.25,25.94,81.75,3.50,4.99,12.16,9.87,16.14,16.70,16.10,16.69,64.64,-0.06,-0.22,-0.38,-0.46,-5.27,55.70,,11503,9.74,3.70,25.00
Shahlon Silk,542862,,INE052001026,Textiles & Apparels,Other Textile Products,23.49,23.44,26.29,0,1,170534,16254,4050,12.52,32.89,32.89,5.91,-0.47,-5.13,41.51,22.72,20.23,22.69,20.19,47.97,0.66,0.84,1.31,1.47,35.78,19.98,3.73,37577,,,209.77
Shaily Engineer.,501423,SHAILY,INE151G01028,Industrial Products,Plastic Products - Industrial,2211.80,-15.27,20.63,0,1,219549,204073,251376,1304.65,2799.90,2799.90,7.14,-0.73,7.30,1.29,2166.88,2049.46,2165.05,2047.83,58.43,-31.57,-50.39,-78.36,-90.06,46.76,95.81,63.55,199338,45.82,37.32,10164.35
Shakti Press,526841,,INE794C01016,Printing & Publication,Printing & Publication,29.02,-3.04,22.81,0,1,3328,2175,3018,22.50,39.38,44.19,4.00,4.09,18.59,11.96,26.87,27.98,26.78,27.97,61.21,0.04,-0.23,-0.45,-0.57,4.20,,,7060,,,10.22
