Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,Return over 3months,Return over 6months,Is SME,Is not SME,Volume 1month average,Volume 1week average,Volume,Low price,High price,High price all time,Low price all time,Return over 1day,Return over 1week,Return over 1month,DMA 50,DMA 200,DMA 50 previous day,DMA 200 previous day,RSI,MACD,MACD Previous Day,MACD Signal,MACD Signal Previous Day,Return over 1year,Return over 3years,Return over 5years,Volume 1year average,Return over 7years,Return over 10years,Market Capitalization
Garment Mantra,539216,,INE653S01028,Textiles & Apparels,Garments & Apparels,1.71,14.00,8.92,0,1,1722098,5234451,7038988,1.05,2.11,8.34,0.39,3.64,19.58,47.41,1.42,1.55,1.41,1.55,71.96,0.05,0.03,0.01,0.00,11.04,-2.41,-12.05,713163,13.84,15.93,76.00
Garnet Construct,526727,,INE797D01017,Realty,"Residential, Commercial Projects",98.90,55.94,155.16,0,1,25683,102422,158755,21.60,107.70,126.80,5.56,1.76,39.47,58.24,68.64,54.14,67.41,53.69,88.49,6.28,4.72,2.77,1.89,241.62,86.48,31.19,19001,33.77,23.51,137.47
Garnet Intl.,512493,,INE590B01010,Finance,Investment Company,61.20,-41.77,-52.54,0,1,31511,21850,65446,42.00,141.00,665.67,1.59,-3.27,-16.73,33.83,66.74,93.91,66.96,94.24,46.41,2.68,3.40,2.71,2.72,-54.62,-0.46,14.21,25757,-0.40,1.26,120.17
Garuda Cons,544271,GARUDA,INE0JVO01026,Construction,Civil Construction,188.85,-15.89,7.82,0,1,3447371,1094925,1589213,85.50,249.45,249.45,76.02,5.30,7.46,14.41,183.02,174.01,182.79,173.86,58.90,-3.21,-5.18,-6.90,-7.82,69.78,,,2182394,,,1757.09
Garware Hi Tech,500655,GRWRHITECH,INE291A01017,Industrial Products,Plastic Products - Industrial,4281.90,19.39,54.40,0,1,126819,157279,73868,2317.35,4799.70,5378.10,15.50,0.26,-1.80,44.41,3412.52,3449.99,3377.04,3441.63,72.50,284.52,256.60,125.52,85.77,17.24,88.88,43.77,94567,55.31,46.00,9947.88
Garware Marine,509563,,INE925D01014,Textiles & Apparels,Other Textile Products,24.63,-16.59,-8.57,0,1,16851,6806,6770,20.33,36.29,67.85,1.63,-2.30,-1.52,-4.61,26.48,27.59,26.55,27.62,43.78,-0.60,-0.60,-0.64,-0.64,-6.35,39.06,47.82,10641,35.41,-0.54,14.20
Garware Synth,514400,,INE340D01016,Commercial Services & Supplies,Trading & Distributors,24.15,7.86,2.99,0,1,4317,14560,1763,11.81,32.30,43.00,0.80,5.00,3.25,68.18,19.89,23.23,19.71,23.22,68.16,1.79,1.74,1.45,1.36,-26.71,39.37,46.16,1571,29.75,4.64,14.03
Garware Tech.,509557,GARFIBRES,INE276A01018,Textiles & Apparels,Other Textile Products,692.00,-7.94,-12.24,0,1,83928,59476,59059,588.15,985.55,986.39,5.42,-2.14,-3.76,5.02,678.09,750.15,677.52,750.73,54.92,9.66,9.11,0.68,-1.56,-11.82,5.42,8.90,83325,18.22,27.97,6869.20
Gateway Distri,543489,GATEWAY,INE079J01017,Transport Services,Logistics Solution Provider,64.73,6.53,-3.27,0,1,935858,1810190,1925780,51.56,76.50,121.55,51.56,1.25,8.06,13.82,59.64,64.00,59.43,64.00,73.61,1.02,0.68,0.20,0.00,-11.97,0.72,,1368590,,,3234.19
Gautam Exim,540613,,INE721X01015,Commercial Services & Supplies,Trading & Distributors,287.70,15.91,8.61,1,0,2125,750,750,98.55,311.00,311.00,17.55,-0.10,-0.10,-0.72,280.69,201.98,280.40,201.12,47.55,0.94,1.35,2.85,3.32,177.43,54.54,56.50,8401,28.24,,88.64
