Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,Debt,Reserves,Balance sheet total,Net block,Gross block,Current assets,Current liabilities,Contingent liabilities,Total Assets,Working capital,Face value,Cash Equivalents,Trade Payables,Debt preceding year,Working capital preceding year,Net block preceding year,Gross block preceding year,Working capital 3Years back,Working capital 5Years back,Working capital 10Years back,Debt 3Years back,Debt 5Years back,Debt 10Years back,Net block 3Years back,Net block 5Years back,Net block 7Years back,Market Capitalization
Diggi Multitrade,540811,,INE158R01012,Commercial Services & Supplies,Trading & Distributors,11.40,0.76,0.40,12.01,0.04,0.11,10.83,1.18,0.00,12.01,9.65,10.00,0.03,1.07,0.00,9.15,0.05,0.11,10.02,10.03,6.71,0.00,0.00,0.00,0.10,0.00,0.00,11.03
Digicontent,542685,DGCONTENT,INE03JI01017,Media,Advertising & Media Agencies,28.25,105.72,26.73,239.60,77.05,102.64,143.04,101.63,0.00,239.60,41.41,2.00,1.76,44.99,156.96,35.38,73.43,162.91,-70.59,0.38,,68.45,108.41,,8.53,71.53,111.37,164.38
Digidrive Dist.,544079,DIGIDRIVE,INE0PSC01024,Retailing,E-Retail/ E-Commerce,22.91,1.12,247.67,324.54,1.18,2.06,26.25,5.83,0.54,324.54,20.42,10.00,5.62,1.93,0.09,21.64,0.17,1.28,,,,,,,,,,88.34
Digikore Studios,,DIGIKORE,INE0QJ901011,Entertainment,Media & Entertainment,75.00,41.03,34.60,94.99,14.22,19.90,75.15,49.02,0.18,94.99,26.13,10.00,0.09,5.60,8.71,33.10,8.95,17.31,-3.17,,,3.49,,,4.17,,,94.99
Digilogic Systems,544684,,INE1OOT01028,Aerospace & Defense,Aerospace & Defense,89.15,22.04,30.62,64.53,9.65,16.13,40.49,19.45,0.00,64.53,21.04,2.00,1.50,5.59,8.11,4.86,8.71,14.55,2.57,,,5.62,,,10.27,,,258.10
DigiSpice Tech.,517214,DIGISPICE,INE927C01020,IT - Services,IT Enabled Services,20.68,12.60,164.83,727.11,78.89,178.97,559.42,486.83,26.58,727.11,72.59,3.00,318.98,15.04,26.04,75.03,70.69,162.34,42.10,16.30,95.65,54.06,26.40,14.73,103.88,124.11,132.30,484.88
Digitide Solutio,544413,DIGITIDE,INE0U4701011,IT - Services,IT Enabled Services,114.75,294.25,742.92,1580.08,465.50,,617.12,447.11,,1580.08,170.01,10.00,9.35,31.14,,,,,,,,,,,,,,1709.90
Digjam,539979,DIGJAMLMTD,INE731U01028,Textiles & Apparels,Other Textile Products,50.08,58.35,-15.38,81.16,0.20,0.40,27.55,49.47,0.00,81.16,-21.92,10.00,0.71,12.86,50.84,-4.52,58.96,71.07,-13.04,-86.39,-26.75,83.93,102.74,57.18,117.52,168.20,173.63,100.16
Diksat Transworl,540151,,INE942P01013,Entertainment,"Film Production, Distribution & Exhibition",114.00,5.52,7.14,31.94,4.99,21.92,22.94,1.75,0.00,31.94,21.19,10.00,0.84,0.83,5.50,15.88,5.26,20.85,15.89,14.86,12.79,6.19,10.74,0.14,6.20,8.11,6.15,199.99
Diksha Greens,542155,,INE01GR01018,Commercial Services & Supplies,Trading & Distributors,1.56,24.49,-40.02,11.15,10.06,11.59,1.09,41.30,0.00,11.15,-40.21,10.00,0.00,1.17,24.49,-35.83,10.13,11.59,-14.68,31.46,5.59,24.47,23.34,5.23,10.27,10.52,1.15,1.54
