Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,Debt,Reserves,Balance sheet total,Net block,Gross block,Current assets,Current liabilities,Contingent liabilities,Total Assets,Working capital,Face value,Cash Equivalents,Trade Payables,Debt preceding year,Working capital preceding year,Net block preceding year,Gross block preceding year,Working capital 3Years back,Working capital 5Years back,Working capital 10Years back,Debt 3Years back,Debt 5Years back,Debt 10Years back,Net block 3Years back,Net block 5Years back,Net block 7Years back,Market Capitalization
Rel. Chemotex,503162,RELCHEMQ,INE750D01016,Textiles & Apparels,Other Textile Products,143.55,252.01,132.23,478.69,305.85,374.49,162.56,173.32,21.05,478.69,-10.76,10.00,11.47,37.26,280.99,-7.52,317.61,367.07,-3.40,-4.71,18.20,127.96,64.67,107.36,180.91,136.10,145.43,108.54
Rel. Indl. Infra,523445,RIIL,INE046A01015,Transport Services,Logistics Solution Provider,771.50,0.00,455.60,536.92,26.53,287.63,342.16,47.17,2.00,536.92,294.99,10.00,0.57,44.39,0.00,134.08,28.77,291.84,12.61,14.59,5.40,0.00,0.00,0.00,42.62,64.17,88.86,1164.96
Relaxo Footwear,530517,RELAXO,INE131B01039,Consumer Durables,Footwear,370.55,215.47,2084.60,2870.15,1336.05,2090.28,1188.35,551.84,164.66,2870.15,636.51,1.00,25.22,258.50,204.97,644.07,1371.10,2012.49,556.61,377.90,60.60,174.04,138.94,239.39,987.26,981.01,524.86,9224.40
Reliable Data,544207,RELIABLE,INE375Y01018,Finance,Other Financial Services,150.95,41.61,50.13,176.06,9.92,22.67,130.31,65.44,0.00,176.06,64.87,10.00,0.06,25.83,38.12,22.13,16.82,16.82,14.05,25.85,6.17,14.17,7.79,6.21,9.50,7.76,10.26,155.79
Reliable Ventur.,532124,,INE419H01019,Leisure Services,Hotels & Resorts,20.76,0.00,20.38,34.66,17.93,26.21,16.73,1.34,0.00,34.66,15.39,10.00,1.58,0.51,0.64,-1.06,18.06,26.21,4.51,1.60,4.12,0.95,0.40,5.03,18.89,19.24,20.17,22.85
Reliance Communi,532712,RCOM,INE330H01018,Telecom - Services,Telecom - Cellular & Fixed line services,1.05,47211.00,-98117.00,36376.00,2690.00,23861.00,32383.00,120463.00,28726.00,36376.00,-88080.00,5.00,429.00,3697.00,47231.00,-85528.00,2895.00,23877.00,-63837.00,-51596.00,-3403.00,45572.00,45584.00,39828.00,3453.00,3713.00,20839.00,290.36
Reliance Home,540709,RHFL,INE217K01011,Finance,Housing Finance Company,2.77,40.27,-538.07,1.58,0.00,,0.74,14.30,,1.58,-13.56,10.00,0.71,0.00,91.41,12.53,0.00,0.00,309.99,-600.03,-1052.30,12714.46,13235.23,3639.50,47.70,261.79,264.41,134.36
Reliance Industr,500325,RELIANCE,INE002A01018,Petroleum Products,Refineries & Marketing,1467.80,374593.00,863748.00,2038946.00,1096375.00,1375818.00,511964.00,465294.00,13928.00,2038946.00,46670.00,10.00,111500.00,214512.00,350719.00,-33437.00,779985.00,1114582.00,-69761.00,-227571.00,-52990.00,319158.00,355133.00,168251.00,627798.00,532658.00,403885.00,1986295.79
Reliance Infra.,500390,RELINFRA,INE036A01016,Power,Integrated Power Utilities,117.70,5736.72,16501.22,69708.76,17552.27,30225.71,8683.96,30808.45,3926.68,69708.76,-22124.49,10.00,2929.92,17477.79,9895.29,-21599.23,17757.26,28870.75,-19003.40,-16189.31,-2440.09,12717.84,17147.10,25769.79,19001.74,23253.40,39393.16,4809.63
Reliance Power,532939,RPOWER,INE614G01033,Power,Power Generation,27.82,15231.51,12380.01,41587.26,31546.29,52373.25,4953.74,9958.48,1389.36,41587.26,-5004.74,10.00,1727.38,180.66,18765.83,-13384.40,33583.62,52916.33,-12146.73,-11129.93,-2786.62,23129.03,28803.51,33218.52,36307.85,38573.60,34880.54,11505.71
Relic Tech.,511712,,INE452B01013,Finance,Other Financial Services,79.62,2.38,9.79,16.90,1.08,3.79,14.82,3.05,0.00,16.90,11.77,10.00,0.84,0.61,0.35,4.35,0.99,2.22,4.79,4.07,2.63,0.00,0.18,1.19,0.49,0.42,0.66,41.01
Relicab Cable,539760,,INE773T01014,Electrical Equipment,Other Electrical Equipment,37.44,10.87,4.31,43.48,2.07,3.61,36.14,18.04,0.00,43.48,18.10,10.00,2.84,14.36,10.92,13.73,0.99,3.00,11.98,5.29,2.26,11.96,8.97,3.57,0.64,0.74,1.08,37.79
Religare Enterp.,532915,RELIGARE,INE621H01010,Finance,Investment Company,252.45,318.52,2575.07,12504.65,136.75,437.18,1617.52,6368.03,860.19,12504.65,-4750.51,10.00,1026.13,1567.63,442.60,-3923.04,161.03,407.34,-1006.11,-838.22,-2116.86,4877.67,5356.31,16491.40,126.92,174.97,79.68,8403.77
Remedium Life,539561,,INE549S01036,Commercial Services & Supplies,Trading & Distributors,0.90,1087.55,17.00,1623.18,5.83,0.22,1617.31,1517.98,0.00,1623.18,99.33,1.00,1.32,396.43,,,,,,,,,,,,,,79.38
Remi Edelstahl,513043,,INE158G01015,Industrial Products,Iron & Steel Products,137.15,31.47,36.25,95.35,27.81,96.41,63.88,34.25,19.11,95.35,29.63,10.00,7.31,5.44,30.24,33.72,21.58,90.06,36.02,32.47,24.30,31.33,28.59,68.82,27.59,34.23,40.56,163.82
Remsons Ind,530919,REMSONSIND,INE474C01023,Auto Components,Auto Components & Equipments,120.60,103.92,128.61,353.47,122.47,184.46,205.35,155.12,7.17,353.47,50.23,2.00,33.47,66.87,68.11,61.81,70.11,110.81,9.54,,,80.98,,,59.73,,,420.65
Remus Pharma.,,REMUS,INE0O5T01011,Pharmaceuticals & Biotechnology,Pharmaceuticals,710.00,16.01,295.21,568.21,17.62,19.25,313.12,194.92,0.00,568.21,118.20,10.00,7.84,125.04,14.23,71.08,13.79,15.86,,,,,,,,,,836.68
Renaiss. Global,532923,RGL,INE722H01024,Consumer Durables,"Gems, Jewellery And Watches",126.35,713.39,1423.06,2473.37,301.51,492.96,2111.51,846.37,12.40,2473.37,1265.14,2.00,94.43,208.71,655.48,885.98,258.48,442.11,756.07,592.49,271.79,705.58,524.20,271.94,218.34,97.89,49.00,1356.08
Renol Polychem,,RNPL,INE0VZX01015,Chemicals & Petrochemicals,Specialty Chemicals,146.25,0.20,30.50,44.07,1.57,0.79,42.00,5.57,0.00,44.07,36.43,10.00,3.13,4.46,2.58,8.35,0.39,0.69,,,,,,,,,,116.17
Repco Home Fin,535322,REPCOHOME,INE612J01015,Finance,Housing Finance Company,416.90,11494.04,3548.09,15310.47,89.05,126.91,194.67,106.32,21.68,15310.47,88.35,10.00,181.12,3.21,10701.04,401.06,57.59,91.99,577.31,284.12,-846.47,9691.99,10109.04,5104.42,35.23,37.23,13.50,2608.16
Repono,544463,,INE15WN01014,Oil,Oil Storage & Transportation,56.99,5.84,33.76,54.93,6.15,7.36,34.62,9.87,5.02,54.93,24.75,10.00,10.01,0.45,3.54,3.54,5.37,6.24,2.19,0.89,,1.20,0.45,,3.05,0.07,,58.58
Repro India,532687,REPRO,INE461B01014,Printing & Publication,Printing & Publication,413.65,127.38,345.06,580.21,351.09,469.91,165.09,143.33,62.22,580.21,21.76,10.00,11.88,50.87,48.77,81.92,223.70,387.90,19.03,1.88,6.15,102.32,164.87,207.75,255.39,260.50,231.48,593.39
Resgen,543805,,INE0NYN01016,Petroleum Products,Refineries & Marketing,60.50,0.00,40.65,70.06,15.72,29.13,46.49,8.44,0.00,70.06,38.05,10.00,3.23,2.64,8.66,28.85,19.01,27.56,-0.52,1.35,,9.33,0.24,,9.07,0.00,,126.90
Resonance Speci.,524218,,INE486D01017,Chemicals & Petrochemicals,Specialty Chemicals,106.70,2.78,54.58,81.23,20.87,49.56,56.68,11.74,4.09,81.23,44.94,10.00,1.28,8.63,4.17,35.32,22.90,55.81,38.22,15.05,8.19,0.09,0.00,3.12,13.83,14.11,14.60,123.13
Resourceful Auto,544236,,INE0SK201011,Automobiles,Auto Dealer,48.00,12.41,14.40,32.09,0.18,0.73,31.71,3.60,0.00,32.09,28.11,10.00,2.98,0.20,10.79,9.43,0.26,0.70,5.51,,,6.74,,,0.40,,,12.75
Response Info.,538273,,INE401B01010,IT - Software,Software Products,27.50,1.49,8.30,21.38,2.14,2.98,16.00,4.14,0.00,21.38,11.86,10.00,0.26,2.29,2.47,6.04,2.42,3.06,,,,,,,,,,23.24
Responsive Ind,505509,RESPONIND,INE688D01026,Consumer Durables,"Furniture, Home Furnishing",191.20,205.08,1444.85,1859.72,770.86,2194.86,1019.43,255.53,0.00,1859.72,763.90,1.00,16.83,137.30,214.68,344.17,814.64,2146.69,214.90,125.10,235.86,235.55,166.68,550.16,819.80,616.52,765.22,5097.53
Restaurant Brand,543248,RBA,INE07T201019,Leisure Services,Restaurants,64.62,1788.88,221.40,3329.76,2644.75,4336.68,475.11,712.03,0.00,3329.76,-236.92,10.00,42.92,380.64,1429.77,-509.82,2320.25,3783.16,-157.96,,,886.84,,,1513.51,,,3766.16
Restile Ceramics,515085,,INE298E01022,Consumer Durables,Ceramics,6.69,37.48,-129.57,6.63,5.29,36.75,1.34,37.88,0.02,6.63,-36.54,10.00,0.36,0.03,39.11,-36.55,5.86,36.75,-36.74,-37.24,-24.69,39.19,39.22,29.16,7.45,18.89,30.33,65.73
Retaggio Indust.,544391,,INE0KWJ01014,Consumer Durables,"Gems, Jewellery And Watches",41.40,14.38,25.09,58.73,2.33,2.47,53.20,11.41,0.00,58.73,41.79,10.00,0.04,1.20,11.41,14.46,2.32,2.41,0.04,,,0.00,,,0.00,,,64.44
Retina Paints,543902,,INE0NTC01019,Consumer Durables,Paints,57.05,10.56,19.02,52.32,13.19,14.04,39.20,14.09,0.00,52.32,25.11,10.00,0.33,6.34,6.89,13.08,11.52,12.58,2.62,2.17,,5.88,3.19,,1.85,0.27,,87.53
Retro Green,519191,,INE601N01010,Agricultural Food & other Products,Tea & Coffee,1.69,0.54,18.02,56.72,1.91,2.00,6.36,0.10,0.00,56.72,6.26,10.00,0.53,0.04,0.37,0.81,1.02,1.02,,,,,,,,,,6.42
Revathi Equip,544246,RVTH,INE0DAB01012,Industrial Manufacturing,Industrial Products,640.00,52.99,124.03,228.04,47.34,45.73,173.92,99.89,34.76,228.04,74.03,10.00,3.75,22.77,30.99,38.06,8.22,14.01,74.93,,,28.91,,,69.98,,,196.29
Revati Media,524504,,INE270D01015,Commercial Services & Supplies,Trading & Distributors,10.55,1.88,-2.24,2.71,0.52,1.71,0.21,0.07,1.22,2.71,0.14,10.00,0.01,0.06,1.42,0.11,0.52,1.71,0.60,0.57,,1.31,1.31,,0.52,0.52,0.52,3.17
Rex Pipes&Cables,,REXPIPES,INE00D001018,Industrial Products,Plastic Products - Industrial,164.00,32.86,29.04,82.17,9.83,26.03,62.38,43.18,0.00,82.17,19.20,10.00,0.95,5.32,28.16,14.57,11.61,25.68,12.01,-1.62,,26.28,15.42,,12.06,12.45,,154.98
Rex Sealing,543744,,INE0MFT01014,Industrial Products,Packaging,160.00,6.96,17.26,34.87,10.08,9.04,24.09,15.20,0.00,34.87,8.89,10.00,0.19,4.84,2.42,14.32,2.38,8.30,4.65,3.78,,3.78,4.37,,1.81,2.06,,38.08
Rexnord Electr.,531888,,INE687C01012,Industrial Manufacturing,Industrial Products,70.00,27.53,81.96,135.97,66.49,85.05,61.74,27.71,14.26,135.97,34.03,10.00,4.64,6.99,15.31,40.23,32.99,43.91,24.84,18.15,4.63,14.15,8.55,9.62,31.95,19.17,17.10,92.82
Rexpro Enter.,,REXPRO,INE113601012,Consumer Durables,"Furniture, Home Furnishing",57.30,8.02,52.45,97.43,3.04,5.14,91.64,32.96,0.26,97.43,58.68,10.00,37.75,22.33,5.10,5.84,3.09,4.62,2.00,,,3.29,,,1.61,,,64.22
Rhetan TMT Ltd,543590,RHETAN,INE0KKN01029,Industrial Products,Iron & Steel Products,25.93,40.67,17.93,143.85,16.03,19.00,115.98,20.00,0.00,143.85,95.98,1.00,0.30,2.65,16.65,68.56,16.88,18.98,27.71,4.52,1.37,26.49,23.94,7.19,8.29,8.95,,2066.25
RHI Magnesita,534076,RHIM,INE743M01012,Industrial Products,Electrodes & Refractories,460.35,414.68,3999.43,5372.79,2728.88,3262.96,2523.37,965.08,36.93,5372.79,1558.29,1.00,79.54,724.26,486.65,1313.70,2805.13,3153.90,731.65,516.16,,64.71,70.61,,282.50,227.50,,9506.29
Riba Textiles,531952,,INE811H01017,Textiles & Apparels,Other Textile Products,74.99,74.77,91.87,197.37,117.13,152.21,78.31,61.43,1.43,197.37,16.88,10.00,4.59,12.64,67.68,20.64,91.73,144.43,19.45,5.43,5.06,66.32,44.23,19.22,82.60,76.31,70.73,72.38
Rich Universe,530271,,INE652D01014,Finance,Non Banking Financial Company (NBFC),8.11,1.77,-0.24,16.88,0.00,0.04,8.43,8.09,0.00,16.88,0.34,10.00,0.08,8.06,1.51,0.49,0.00,0.04,6.78,6.95,7.45,1.62,1.45,0.00,0.00,0.00,0.00,5.89
Richa Info,,RICHA,INE0J1P01015,IT - Hardware,Computers Hardware & Equipments,67.95,10.68,116.16,144.63,0.16,1.77,141.36,12.80,0.00,144.63,128.56,10.00,0.39,2.53,8.40,12.21,0.41,1.77,20.54,1.02,,15.30,2.69,,0.48,0.32,,91.75
Richfield Fin,539435,,INE201C01012,Finance,Other Financial Services,28.01,43.98,1.35,54.59,0.26,0.50,5.10,1.26,0.00,54.59,3.84,10.00,3.36,0.00,1.21,0.61,0.12,0.32,8.00,0.21,0.63,0.00,0.00,0.00,0.00,0.00,0.01,21.01
Rico Auto Inds,520008,RICOAUTO,INE209B01025,Auto Components,Auto Components & Equipments,135.35,691.94,740.20,2047.45,1168.66,1745.14,732.49,826.59,14.20,2047.45,-94.10,1.00,16.40,455.75,688.49,-98.66,1069.74,1628.52,-157.21,10.59,18.03,599.14,417.83,186.12,825.28,691.51,452.07,1831.28
Riddhi Corporate,540590,,INE325X01015,IT - Services,IT Enabled Services,67.00,43.32,61.37,168.77,49.51,159.39,111.74,64.36,0.00,168.77,47.38,10.00,26.81,34.71,110.08,37.42,104.18,149.05,-11.54,6.54,4.44,140.90,4.79,1.35,139.91,2.03,0.77,79.51
Riddhi Display,544640,,INE1DKT01011,Consumer Durables,Houseware,38.32,11.06,7.68,41.27,3.47,8.39,35.51,22.15,0.00,41.27,13.36,10.00,0.22,9.97,8.10,2.50,2.30,7.25,2.72,,,6.83,,,2.71,,,33.11
Riddhi Siddhi Gl,524480,,INE249D01019,Commercial Services & Supplies,Trading & Distributors,521.10,227.21,1568.37,1914.66,430.08,658.24,572.86,174.72,73.65,1914.66,398.14,10.00,0.39,10.02,72.75,467.03,382.56,598.75,383.23,630.12,,155.02,270.92,,737.67,747.53,743.69,371.53
Riddhi Steel,540082,,INE367U01013,Industrial Products,Iron & Steel Products,395.00,138.02,59.89,215.39,20.31,69.66,195.08,90.05,0.00,215.39,105.03,10.00,9.07,2.26,132.17,74.59,23.70,68.60,76.23,59.80,23.35,125.89,99.13,74.84,27.51,28.97,26.47,327.47
Rikhav Securitie,544340,,INE0CFH01028,Capital Markets,Stockbroking & Allied,47.51,4.83,225.12,357.25,2.52,5.78,351.31,111.90,0.00,357.25,239.41,5.00,161.78,63.41,40.18,-90.73,2.04,8.82,-55.77,,,15.06,,,0.89,,,181.90
RIR Power Electr,517035,,INE302D01024,Electrical Equipment,Other Electrical Equipment,188.75,13.88,122.68,209.71,55.55,20.72,115.35,34.78,0.43,209.71,80.57,2.00,43.72,18.58,34.08,51.01,7.80,14.58,4.85,,,29.20,,,8.51,,,1501.90
Risa Internatio.,530251,,INE001O01029,Commercial Services & Supplies,Trading & Distributors,0.47,6.94,-35.80,7.22,0.00,0.03,0.10,8.84,0.00,7.22,-8.74,2.00,0.00,1.72,1.55,0.52,0.00,0.03,15.57,17.94,23.82,0.67,0.01,0.95,0.00,0.02,0.04,7.50
Rish.Digh.Steel,531539,,INE864D01015,Industrial Products,Iron & Steel Products,34.44,0.17,12.96,18.73,0.03,0.63,18.38,0.28,0.00,18.73,18.10,10.00,0.04,0.00,3.02,-2.71,0.09,0.59,-0.36,0.04,0.11,0.49,0.06,0.00,1.59,1.74,1.95,18.89
Rishabh Instrum.,543977,RISHABH,INE0N2P01017,Electrical Equipment,Other Electrical Equipment,448.55,103.68,649.86,958.13,371.39,465.12,540.85,182.80,7.19,958.13,358.05,10.00,218.98,65.94,57.65,304.32,265.12,373.72,161.67,126.51,,103.32,103.58,,219.61,180.65,,1726.80
Rishabh Sp. Yarn,514177,,INE351D01013,Textiles & Apparels,Other Textile Products,49.87,0.52,-3.50,0.81,0.00,0.00,0.11,0.66,0.00,0.81,-0.55,10.00,0.04,0.00,0.30,-0.28,0.00,0.00,-0.01,-1.30,0.17,0.14,1.58,1.87,0.00,0.03,0.26,17.75
Rishi Laser,526861,,INE988D01012,Industrial Manufacturing,Industrial Products,131.00,24.54,65.97,134.57,75.22,126.12,51.97,39.39,1.00,134.57,12.58,10.00,8.65,24.65,12.04,3.85,56.42,122.51,-9.43,-10.61,-20.60,16.21,17.06,52.55,56.02,51.59,55.38,120.39
Rishi Techtex,523021,,INE989D01010,Industrial Products,Packaging,44.99,24.02,26.75,75.05,22.10,59.43,51.61,36.61,12.52,75.05,15.00,10.00,1.30,11.06,25.14,12.84,23.37,58.07,14.52,9.68,6.47,23.09,20.41,11.73,24.07,21.83,17.40,33.23
Rishiroop,526492,,INE582D01013,Industrial Products,Rubber,102.55,0.31,130.16,158.31,1.63,5.90,40.77,12.99,5.23,158.31,27.78,10.00,1.58,11.50,0.56,13.47,2.24,5.70,23.04,17.43,7.68,0.06,0.00,0.00,2.53,1.85,8.10,93.98
Rita Finance and,543256,,INE018S01016,Finance,Non Banking Financial Company (NBFC),18.95,1.76,6.56,18.83,0.00,0.06,0.14,0.51,0.00,18.83,-0.37,10.00,0.04,0.00,0.00,-0.25,0.01,0.06,-0.19,1.17,1.41,6.47,0.86,0.00,0.02,0.03,0.00,18.95
Ritco Logistics,542383,RITCO,INE01EG01016,Transport Services,Logistics Solution Provider,247.55,372.22,319.61,739.34,164.10,208.07,523.14,291.19,35.72,739.34,231.95,10.00,1.61,4.03,259.57,128.93,63.47,125.66,,,,,,,,,,708.57
Rite Zone,,RITEZONE,INE0MRA01019,Chemicals & Petrochemicals,Specialty Chemicals,19.55,1.44,11.03,22.01,1.85,3.40,20.01,5.84,0.00,22.01,14.17,10.00,1.84,4.70,0.80,13.00,1.78,3.09,3.90,1.57,,1.06,2.59,,2.09,1.37,,8.27
Rites,541556,RITES,INE320J01015,Construction,Civil Construction,224.95,7.84,2153.44,6064.73,870.89,1354.49,4552.99,2869.45,247.33,6064.73,1683.54,10.00,3092.60,265.57,8.00,1776.74,535.07,951.80,1592.47,2000.51,772.73,27.59,47.47,0.00,559.89,590.48,402.17,10811.18
Ritesh Intl.,519097,,INE534D01014,Chemicals & Petrochemicals,Commodity Chemicals,60.62,10.62,15.47,41.58,17.06,19.87,23.43,13.74,0.00,41.58,9.69,10.00,0.28,3.16,5.78,7.97,11.41,16.64,9.29,4.41,1.83,6.82,1.68,2.87,8.39,7.55,6.60,56.82
RKD Agri,511169,,INE552N01023,Agricultural Food & other Products,Other Agricultural Products,4.55,1.68,-1.50,6.35,1.71,0.89,4.63,0.32,0.00,6.35,4.31,1.00,0.11,0.82,0.84,4.16,0.48,0.69,-0.91,-1.44,-0.89,3.30,2.97,0.30,0.10,0.09,0.00,26.59
RKEC Projects,,RKEC,INE786W01010,Construction,Civil Construction,45.49,189.60,182.71,578.00,98.46,155.52,472.64,316.71,22.90,578.00,155.93,10.00,43.79,107.97,150.27,129.75,53.46,97.43,133.06,67.89,6.93,149.21,69.56,10.49,52.14,32.97,14.25,117.44
RLF,512618,,INE629C01014,Textiles & Apparels,Other Textile Products,11.52,3.63,17.70,32.36,26.08,42.40,2.94,4.25,0.07,32.36,-1.31,10.00,0.08,0.24,3.53,-0.58,25.99,42.22,0.06,-0.66,0.19,3.97,5.51,11.28,19.59,23.03,23.67,11.51
RMC Switchgears,540358,,INE655V01019,Electrical Equipment,Other Electrical Equipment,508.05,74.80,115.87,277.98,30.72,49.62,226.47,132.46,0.99,277.98,94.01,10.00,8.46,56.81,49.93,48.74,27.59,49.62,17.31,18.98,5.40,41.50,40.72,24.33,29.24,28.61,24.20,537.34
RNFI Services,,RNFI,INE0SA001017,Finance,Other Financial Services,294.95,36.04,110.22,329.29,59.83,77.74,251.22,174.63,1.61,329.29,76.59,10.00,86.03,4.16,32.50,-4.48,39.83,50.28,5.21,,,11.66,,,9.55,,,739.16
RNIT AI Solution,517286,,INE335Q01026,Auto Components,Auto Components & Equipments,51.54,10.55,9.15,104.84,52.72,60.16,44.75,12.04,0.00,104.84,32.71,10.00,4.52,4.66,27.79,6.65,0.50,0.60,,,4.59,,,17.27,,,,409.86
Roadstar Infra,544374,ROADSTAR,INE0JEI23010,Transport Infrastructure,"Road AssetsToll, Annuity, Hybrid-Annuity",56.70,3567.91,-365.33,8808.67,7170.73,10700.94,1436.26,723.21,318.56,8808.67,713.05,100.00,626.40,137.52,2849.55,1043.78,4986.69,6350.67,,,,,,,,,,2582.56
Robust Hotels,543901,RHL,INE508K01013,Leisure Services,Hotels & Resorts,191.50,0.00,0.00,0.00,0.00,886.56,0.00,0.00,1.55,0.00,0.00,10.00,0.00,0.00,159.20,115.46,655.62,893.07,-95.34,-68.74,,190.65,151.55,,494.34,517.63,,331.14
Rockingdeals Cir,,ROCKINGDCE,INE0PTR01012,Commercial Services & Supplies,Trading & Distributors,208.00,9.54,39.94,63.97,12.27,17.32,46.22,18.21,4.97,63.97,28.01,10.00,1.79,2.43,0.08,28.76,5.47,7.32,1.17,,,4.06,,,4.07,,,172.63
Rodium Realty,531822,,INE513E01024,Realty,"Residential, Commercial Projects",180.05,112.40,17.79,177.05,1.84,3.09,156.14,95.02,0.00,177.05,61.12,10.00,4.40,3.58,98.21,34.38,0.16,0.91,24.02,19.85,14.51,91.69,88.26,81.38,0.19,0.13,0.28,58.47
Rolcon Engg. Co.,505807,,INE775R01013,Industrial Products,Other Industrial Products,636.00,0.09,27.02,40.97,8.22,33.14,26.63,13.13,0.67,40.97,13.50,10.00,8.25,10.95,0.78,9.85,6.67,30.37,6.74,5.41,7.24,0.29,0.09,0.17,5.81,4.43,4.69,48.34
Rolex Rings,543325,ROLEXRINGS,INE645S01024,Auto Components,Auto Components & Equipments,146.15,0.11,1138.33,1366.03,439.97,620.80,873.15,155.58,20.18,1366.03,717.57,1.00,100.86,93.67,18.06,356.20,466.41,602.63,200.13,-2.81,,222.92,259.09,,379.66,374.27,335.79,3980.08
Rollatainers,502448,ROLLT,INE927A01040,Industrial Products,Packaging,1.25,11.22,-33.10,35.78,0.00,0.00,0.35,44.24,1.67,35.78,-43.89,1.00,0.09,0.12,35.16,-17.74,0.00,0.00,-11.56,-157.61,164.69,28.71,163.85,159.62,56.11,242.18,132.70,31.27
Roni Households,542145,,INE02AP01013,Commercial Services & Supplies,Trading & Distributors,48.89,3.79,4.93,29.04,2.83,7.65,26.21,7.71,0.00,29.04,18.50,10.00,1.16,5.98,4.22,19.36,2.64,6.70,5.31,,,7.12,,,4.48,,,56.19
Roopa Industries,530991,,INE443C01010,Pharmaceuticals & Biotechnology,Pharmaceuticals,49.00,36.09,10.38,86.62,8.44,17.58,77.81,62.47,7.41,86.62,15.34,10.00,1.70,18.81,25.75,6.08,8.74,18.19,7.26,8.60,3.37,11.97,13.51,8.37,9.69,10.53,6.29,38.55
Rose Merc.,512115,,INE649C01012,Commercial Services & Supplies,Trading & Distributors,68.00,1.69,77.47,91.05,26.46,27.36,48.25,5.75,0.00,91.05,42.50,10.00,8.18,2.79,0.52,11.05,3.97,4.03,,,,,,,,,,40.48
Roselabs Finance,531324,,INE475C01012,Finance,Other Financial Services,22.28,4.94,-14.83,0.13,0.00,0.00,0.02,0.02,0.00,0.13,0.00,10.00,0.00,0.02,4.57,0.02,0.00,0.00,-1.55,-4.49,-7.70,4.93,4.49,25.26,0.00,0.00,0.00,22.28
Rossari Biotech,543213,ROSSARI,INE02A801020,Chemicals & Petrochemicals,Specialty Chemicals,542.00,352.65,1240.43,2087.98,630.39,877.71,1114.08,644.59,1.60,2087.98,469.49,2.00,51.97,292.62,118.80,381.26,577.56,790.89,303.09,163.89,,8.43,66.93,,607.14,93.54,,3001.80
Rossell India,533168,ROSSELLIND,INE847C01020,Agricultural Food & other Products,Tea & Coffee,45.00,78.47,215.73,334.92,212.04,274.83,95.38,71.01,1.09,334.92,24.37,2.00,0.93,5.02,26.50,-21.56,139.90,203.43,5.04,-49.61,-18.70,153.45,194.82,55.29,234.12,165.83,176.15,169.62
Rossell Techsys,544294,ROSSTECH,INE0OJW01016,Aerospace & Defense,Aerospace & Defense,729.50,264.61,134.17,530.24,116.64,169.18,406.30,382.90,0.08,530.24,23.40,2.00,4.81,96.84,167.52,22.21,103.15,148.08,,,,,,,,,,2749.96
Roto Pumps,517500,ROTO,INE535D01037,Industrial Products,"Compressors, Pumps & Diesel Engines",66.85,28.68,210.07,319.70,114.22,215.89,185.47,79.41,18.01,319.70,106.06,1.00,18.51,17.46,53.18,86.08,124.85,203.94,76.52,41.61,7.86,33.95,17.07,41.72,66.95,43.86,49.06,1259.71
Rotographics (I),539922,,INE364S01014,Commercial Services & Supplies,Trading & Distributors,127.10,0.00,1.59,21.97,0.00,0.02,0.97,7.19,0.00,21.97,-6.22,10.00,0.29,3.82,0.03,0.06,0.00,0.02,0.26,0.35,3.57,0.03,0.04,0.07,0.00,0.00,0.01,167.15
Route Mobile,543228,ROUTE,INE450U01017,Telecom - Services,Other Telecom Services,574.00,20.91,2464.29,3367.67,862.28,1218.64,2391.72,740.63,285.21,3367.67,1651.09,10.00,1047.02,595.32,378.49,1080.26,897.70,1205.90,994.02,45.96,,16.22,53.17,,952.27,175.62,182.06,3616.38
ROX Hi-Tech,,ROXHITECH,INE0PDJ01013,IT - Services,IT Enabled Services,34.25,53.71,96.20,258.77,16.36,18.83,218.53,131.94,0.00,258.77,86.59,10.00,27.40,55.63,,,,,,,,,,,,,,78.21
Royal Arc Ele.,,ROYALARC,INE0EO401019,Industrial Products,Electrodes & Refractories,159.00,5.53,64.99,93.32,19.20,32.31,69.50,15.89,1.30,93.32,53.61,10.00,18.42,7.73,0.20,23.56,16.25,32.31,8.85,7.80,18.50,7.81,12.20,28.13,14.54,14.82,,176.49
Royal Cush. Vin.,526193,,INE618A01011,Consumer Durables,Granites & Marbles,21.39,88.83,-68.30,88.89,47.84,57.28,39.99,84.59,4.06,88.89,-44.60,10.00,0.78,25.45,62.51,-62.84,46.81,55.29,-56.44,-79.49,-136.01,305.34,333.58,290.05,12.76,17.13,20.24,78.26
Royal India Corp,512047,,INE510H01015,Consumer Durables,"Gems, Jewellery And Watches",6.52,7.59,-14.39,154.39,0.63,,146.30,43.22,,154.39,103.08,10.00,1.10,31.64,,,,,,,,,,,,,,76.90
Royal Orch.Hotel,532699,ROHLTD,INE283H01019,Leisure Services,Hotels & Resorts,391.90,677.33,212.73,1022.18,769.02,502.87,135.59,120.03,46.37,1022.18,15.56,10.00,31.32,33.58,199.60,12.05,255.45,485.88,4.82,-19.11,-39.56,148.51,151.58,90.63,192.73,307.08,272.44,1074.79
Royal Sense,544143,,INE0QQG01019,Healthcare Equipment & Supplies,Medical Equipment & Supplies,174.40,6.87,30.04,51.51,1.73,1.68,47.76,15.14,0.10,51.51,32.62,10.00,0.99,4.05,1.60,17.85,0.05,0.06,,,,,,,,,,93.31
